model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
LogitBoostClassifier (ClusterCentroids),100.0,0.8816629063916587,0.039256284358664684,0.7631578947368421,0.8604651162790697,0.8837209302325582,0.9090909090909092,0.9565217391304348
LogitBoostClassifier (RandomUnderSampler),100.0,0.882902340528434,0.03860206816480416,0.775,0.8666666666666667,0.8876262626262625,0.9090909090909092,0.945054945054945
LogitBoostClassifier (Standard),100.0,0.834668366026926,0.05003214699328863,0.7027027027027027,0.8048780487804879,0.8352713178294574,0.8720423000660938,0.9333333333333332
