model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max
APriori (ClusterCentroids),100.0,0.8987936490391918,0.02892651384903911,0.8020757654385055,0.88145249647409,0.903308251167618,0.9204674434466822,0.9552750209824096
APriori (RandomUnderSampler),100.0,0.8996219570494248,0.030388671033308067,0.8030920256011072,0.8823861892905613,0.896162229215069,0.9222417865764495,0.9571094966268812
APriori (Standard),100.0,0.9003012348590224,0.02723533623902571,0.831275470914487,0.8832418597625166,0.9012701928651154,0.9176142106915638,0.9571094966268812
