model,average_precision
APosteriori,0.817 ± 0.055
APriori,0.749 ± 0.083
BalancedRandomForestClassifier,0.868 ± 0.043
DESKL,0.857 ± 0.048
DESP,0.801 ± 0.068
DecisionTreeClassifier,0.474 ± 0.120
Exponential,0.760 ± 0.074
ExtraTreesClassifier,0.864 ± 0.043
KNOP,0.846 ± 0.050
KNORAE,0.603 ± 0.110
KNORAU,0.850 ± 0.049
KNeighborsClassifier,0.873 ± 0.044
Logarithmic,0.789 ± 0.068
LogitBoostClassifier,0.867 ± 0.046
METADES,0.549 ± 0.133
MLA,0.718 ± 0.091
MLPClassifier,0.881 ± 0.043
RRC,0.762 ± 0.075
RUSBoostClassifier,0.854 ± 0.056
RandomForestClassifier,0.858 ± 0.047
StackingClassifier,0.887 ± 0.038
VotingClassifier,0.882 ± 0.040
XGBClassifier,0.892 ± 0.037
