model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max
APosteriori,100.0,0.9152180318589687,0.026646114969330465,0.8474052932018682,0.8967349939456841,0.9136453342514874,0.9350011416252665,0.9752667145440544
APriori,100.0,0.8996219570494247,0.030388671033308074,0.8030920256011072,0.8823861892905613,0.896162229215069,0.9222417865764495,0.9571094966268812
BalancedRandomForestClassifier,100.0,0.8560671563898761,0.05649199779047307,0.6407076047173648,0.8276547885319236,0.85857256309302,0.8936736728806325,0.9516260162601626
DESKL,100.0,0.9120997440580441,0.028469934271479223,0.8289742259124719,0.8947201262528685,0.9145886976443073,0.9357635433881616,0.9773000614330336
DESP,100.0,0.913630753125695,0.02738733382587541,0.8357488340702413,0.9003024603497356,0.9141249830554425,0.9304260078045911,0.9722166942105857
DecisionTreeClassifier,100.0,0.8717052849969038,0.035991069844209966,0.770904687770282,0.8461857810067462,0.8758634557794359,0.8990113961996988,0.9481664071959868
Exponential,100.0,0.9159067906364604,0.026642748834057723,0.8169131638124891,0.9025269742933038,0.9148366544665854,0.9333752286855758,0.9756733839218504
ExtraTreesClassifier,100.0,0.9078870551029269,0.029323587626353547,0.8291774779449922,0.8932104758833663,0.913978982874935,0.9257164348146482,0.9779100654997276
KNOP,100.0,0.912863421375917,0.026493094303171,0.8339214668742432,0.8980698346499615,0.9141075427795996,0.9305803065974773,0.9634103096350112
KNORAE,100.0,0.8988465030355289,0.02880226575016604,0.8173888600588133,0.8825386283149516,0.9003591525125534,0.916617207486466,0.9683575505967824
KNORAU,100.0,0.9124128626574947,0.02581889227629755,0.8415109842587787,0.8978031482442483,0.9149606188085537,0.9302893484542449,0.9722532872441372
KNeighborsClassifier,100.0,0.9210049024992404,0.02652828963057612,0.8435466653111021,0.9040520464523214,0.9253285802047192,0.9369408296055307,0.9783169001902784
Logarithmic,100.0,0.9157913872529373,0.026767441995303738,0.839409271752292,0.9028319763266508,0.9154466585332792,0.9345714759682033,0.976283387988544
LogitBoostClassifier,100.0,0.908854314353389,0.02973495995986129,0.8191489361702128,0.8936170212765957,0.9144869476434808,0.9257672684868726,0.9777067308108296
METADES,100.0,0.8938858004450642,0.03432104631644536,0.7677910396125238,0.8759965517825674,0.897119272018551,0.9177892897594235,0.961987545407369
MLA,100.0,0.8751678801018595,0.04049516700461474,0.7641274346084292,0.8478505417844169,0.872238758187466,0.9070387050666741,0.9560234656883528
MLPClassifier,100.0,0.9182735397537429,0.027990846060293104,0.8435466653111021,0.9034423110188547,0.9146903649887564,0.9362799918666124,0.978113648157758
RRC,100.0,0.9153350335706238,0.02752219445813554,0.8173196678775299,0.9028223098171719,0.9151416564999322,0.9337820013838437,0.9752667145440544
RUSBoostClassifier,100.0,0.9215998439491557,0.024948170636282276,0.8467938013203776,0.9082425177160757,0.922711637522028,0.940710949662688,0.9744533757884628
RandomForestClassifier,100.0,0.91609448927996,0.02768473428117201,0.839409271752292,0.9036453150822424,0.9160566625999728,0.9352555786196161,0.9773000614330336
StackingClassifier,100.0,0.9355491921605313,0.023133600970677366,0.8494371522760507,0.9223749472098338,0.9338399755998374,0.9533805280145676,0.9850934094447328
VotingClassifier,100.0,0.9234298449510564,0.02530677253358669,0.8500475696246323,0.9056399959333061,0.9251252455158212,0.9389121215595339,0.9777067308108296
XGBClassifier,100.0,0.9230722660532577,0.026428269914117924,0.8504540736896731,0.9059958316388775,0.9250237021559387,0.9369408296055307,0.9775033961219316
