model,balanced_accuracy,average_precision,f1
APosteriori,0.915 ± 0.027,0.817 ± 0.055,0.744 ± 0.098
APriori,0.900 ± 0.030,0.749 ± 0.083,0.521 ± 0.079
BalancedRandomForestClassifier,0.856 ± 0.056,0.868 ± 0.043,0.146 ± 0.060
DESKL,0.912 ± 0.028,0.857 ± 0.048,0.875 ± 0.036
DESP,0.914 ± 0.027,0.801 ± 0.068,0.670 ± 0.082
DecisionTreeClassifier,0.872 ± 0.036,0.474 ± 0.120,0.666 ± 0.092
Exponential,0.916 ± 0.027,0.760 ± 0.074,0.800 ± 0.044
ExtraTreesClassifier,0.908 ± 0.029,0.864 ± 0.043,0.880 ± 0.036
KNOP,0.913 ± 0.026,0.846 ± 0.050,0.611 ± 0.123
KNORAE,0.899 ± 0.029,0.603 ± 0.110,0.509 ± 0.077
KNORAU,0.912 ± 0.026,0.850 ± 0.049,0.539 ± 0.114
KNeighborsClassifier,0.921 ± 0.027,0.873 ± 0.044,0.887 ± 0.033
Logarithmic,0.916 ± 0.027,0.789 ± 0.068,0.834 ± 0.041
LogitBoostClassifier,0.909 ± 0.030,0.867 ± 0.046,0.883 ± 0.039
METADES,0.894 ± 0.034,0.549 ± 0.133,0.537 ± 0.133
MLA,0.875 ± 0.040,0.718 ± 0.091,0.790 ± 0.076
MLPClassifier,0.918 ± 0.028,0.881 ± 0.043,0.875 ± 0.034
RRC,0.915 ± 0.028,0.762 ± 0.075,0.803 ± 0.045
RUSBoostClassifier,0.922 ± 0.025,0.854 ± 0.056,0.690 ± 0.057
RandomForestClassifier,0.916 ± 0.028,0.858 ± 0.047,0.869 ± 0.038
StackingClassifier,0.936 ± 0.023,0.887 ± 0.038,0.772 ± 0.042
VotingClassifier,0.923 ± 0.025,0.882 ± 0.040,0.885 ± 0.035
XGBClassifier,0.923 ± 0.026,0.892 ± 0.037,0.883 ± 0.034
