model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
VotingClassifier (ClusterCentroids),100.0,0.8988258259979799,0.03255980308301564,0.7951807228915663,0.8825709174546383,0.9010989010989012,0.9199922510654786,0.9574468085106383
VotingClassifier (RandomUnderSampler),100.0,0.8849719093494004,0.03478878788160775,0.7764705882352941,0.8636363636363636,0.8842105263157894,0.9095959595959597,0.9565217391304348
VotingClassifier (Standard),100.0,0.898590651325444,0.03091955028760206,0.8048780487804879,0.8837209302325582,0.9010989010989012,0.9213483146067416,0.9574468085106383
