model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
XGBClassifier (ClusterCentroids),100.0,0.9216110066006218,0.02722672011989723,0.8504540736896731,0.9042553191489362,0.9248204087952294,0.937296665311102,0.978113648157758,100.0,0.8873360776181061,0.0387681854194201,0.7428276757503118,0.8680965275302048,0.8938936294423433,0.9089688090771212,0.9633158577304316,100.0,0.89609877339898,0.03376334168762447,0.7951807228915663,0.8764044943820225,0.898876404494382,0.9230769230769232,0.9565217391304348
XGBClassifier (RandomUnderSampler),100.0,0.9230722660532578,0.02642826991411792,0.8504540736896731,0.9059958316388775,0.9250237021559387,0.9369408296055307,0.9775033961219316,100.0,0.8919107284212993,0.03653289932904609,0.7691285904888108,0.8674540451851402,0.8949283357052489,0.9149946608402548,0.9529989221756549,100.0,0.8826046944649184,0.03440485532682771,0.7816091954022989,0.8635167464114832,0.8820366856419988,0.9090909090909092,0.946236559139785
XGBClassifier (Standard),100.0,0.9224966340212666,0.02592605871967729,0.8504540736896731,0.9057416632777551,0.9206926214023461,0.9371441642944285,0.9783167348775232,100.0,0.9020416462881411,0.03368790152435308,0.788756537473474,0.8820589960518135,0.905404001628604,0.9227855455824185,0.9734547344727328,100.0,0.8988636444369281,0.03202841223093063,0.7951807228915663,0.8837209302325582,0.9010989010989012,0.921780466724287,0.967032967032967
