model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max
APosteriori,100.0,0.9138205667172734,0.02806345382336917,0.8293807299775124,0.8941609145302103,0.9136738568570217,0.9324359657965096,0.9768933920552378
APriori,100.0,0.9003012348590224,0.027235336239025715,0.831275470914487,0.8832418597625166,0.9012701928651154,0.9176142106915638,0.9571094966268812
BalancedRandomForestClassifier,100.0,0.5158218339142845,0.055044775954054236,0.5,0.5,0.5,0.5,0.7782520325203253
DESKL,100.0,0.9130562785204073,0.027706195798355603,0.838799515654731,0.8946184382443251,0.9146903236605675,0.9356110423714881,0.9773000614330336
DESP,100.0,0.9147477167098979,0.028157296147185044,0.8357507351669261,0.9051335519541761,0.917532641706973,0.9309347991369128,0.9736421034423112
DecisionTreeClassifier,100.0,0.8712301793040177,0.034173228175196926,0.7919780314824425,0.8477488537758735,0.8715351985325293,0.8993163362407626,0.9394884618379724
Exponential,100.0,0.9166563555077883,0.02722363870231802,0.8383930115896904,0.9024979747648672,0.922888563937944,0.9341885054488844,0.9752667145440544
ExtraTreesClassifier,100.0,0.9073427571628082,0.02911296291982852,0.8289742259124719,0.8934136865876978,0.9061483326555511,0.925563995790258,0.9779100654997276
KNOP,100.0,0.9131614098969159,0.02689769845858606,0.833108458744162,0.8975968313308331,0.9142468396597823,0.9331387303234735,0.9677433310548312
KNORAE,100.0,0.9004014228785396,0.030767260109063613,0.8186083722539352,0.8815098871492476,0.9042531006165884,0.9196514324279892,0.9703900709219858
KNORAU,100.0,0.913985389342139,0.025221373850281382,0.8431370005189414,0.8976651283611337,0.9150926254401981,0.9311202546577924,0.9697803148244248
KNeighborsClassifier,100.0,0.9147316403654073,0.028021884511050785,0.8400190278498529,0.9037979400834824,0.9148936170212766,0.9358145010449526,0.9779100654997276
Logarithmic,100.0,0.916946460030471,0.026613371032281872,0.8383930115896904,0.9026291375760185,0.9156499932221771,0.9349776494077338,0.976080053299646
LogitBoostClassifier,100.0,0.871748613377713,0.03648767054570043,0.7763924926483308,0.8436991663277755,0.8722387995156548,0.9034931240269849,0.9466052586057776
METADES,100.0,0.8942829674698263,0.03322034782118557,0.7651487631897596,0.8780308963735939,0.8968467170100283,0.9153971993530784,0.9646933107213622
MLA,100.0,0.8777045527493306,0.03692589537630743,0.7653474427418169,0.8586614192485178,0.8773626841909442,0.9027309289050338,0.967475102316285
MLPClassifier,100.0,0.916570378643238,0.028731929001592618,0.8400188625370977,0.8956299986444354,0.9164633319777687,0.935966898741154,0.9783167348775232
RRC,100.0,0.9172250560902659,0.026588283862986766,0.838799515654731,0.9026291375760185,0.9148366544665854,0.9339616578783594,0.9758767186107482
RUSBoostClassifier,100.0,0.9202688991828907,0.02564997710682367,0.8472004706981735,0.9089993080781872,0.9213644629913632,0.9370992792434218,0.975471371734994
RandomForestClassifier,100.0,0.9160922787538497,0.02766067368475636,0.8392060197197717,0.9036453150822424,0.9160566625999728,0.9351536426419399,0.9773000614330336
StackingClassifier,100.0,0.9347046370148695,0.022359697123433032,0.8684770664428543,0.9214160612350804,0.9331757019056481,0.9519767422188166,0.9838738972496108
VotingClassifier,100.0,0.923003600683276,0.025821299975828667,0.8506571604094382,0.90625,0.9253285802047192,0.9371441642944285,0.9783169001902784
XGBClassifier,100.0,0.9224966340212666,0.025926058719677295,0.8504540736896731,0.9057416632777551,0.9206926214023461,0.9371441642944285,0.9783167348775232
