model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max
Logarithmic (ClusterCentroids),100.0,0.9165262667722979,0.02660741608347162,0.8392060197197717,0.9032389556658624,0.91408044357844,0.9347982615464453,0.976283387988544
Logarithmic (RandomUnderSampler),100.0,0.9157913872529373,0.02676744199530374,0.839409271752292,0.9028319763266508,0.9154466585332792,0.9345714759682033,0.976283387988544
Logarithmic (Standard),100.0,0.9169464600304709,0.026613371032281872,0.8383930115896904,0.9026291375760185,0.9156499932221771,0.9349776494077338,0.976080053299646
