Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
balanced_accuracy,Logarithmic (ClusterCentroids),Logarithmic (RandomUnderSampler),0.0007348795193605762,0.05076564617420586,0.9596145519995074,False,No Diff,average_precision,Logarithmic (ClusterCentroids),Logarithmic (RandomUnderSampler),0.04042165292925293,1.330585907647208,0.18638201167161547,False,No Diff,f1,Logarithmic (ClusterCentroids),Logarithmic (RandomUnderSampler),0.009723916009041544,0.4573097719190149,0.6484503813969154,False,No Diff
balanced_accuracy,Logarithmic (ClusterCentroids),Logarithmic (Standard),-0.00042019325817299613,-0.035890729923334704,0.9714417562902113,False,No Diff,average_precision,Logarithmic (ClusterCentroids),Logarithmic (Standard),0.046432138469048034,1.408625384465498,0.16207891867205504,False,No Diff,f1,Logarithmic (ClusterCentroids),Logarithmic (Standard),0.008630303559789665,0.4384802000565368,0.6619935816836492,False,No Diff
balanced_accuracy,Logarithmic (RandomUnderSampler),Logarithmic (ClusterCentroids),-0.0007348795193605762,-0.05076564617420586,0.9596145519995074,False,No Diff,average_precision,Logarithmic (RandomUnderSampler),Logarithmic (ClusterCentroids),-0.04042165292925293,-1.330585907647208,0.18638201167161547,False,No Diff,f1,Logarithmic (RandomUnderSampler),Logarithmic (ClusterCentroids),-0.009723916009041544,-0.4573097719190149,0.6484503813969154,False,No Diff
balanced_accuracy,Logarithmic (RandomUnderSampler),Logarithmic (Standard),-0.0011550727775335723,-0.10042266494603294,0.9202118651359223,False,No Diff,average_precision,Logarithmic (RandomUnderSampler),Logarithmic (Standard),0.006010485539795107,0.17108815966634294,0.8645036436795906,False,No Diff,f1,Logarithmic (RandomUnderSampler),Logarithmic (Standard),-0.0010936124492518795,-0.05803855125498705,0.9538349067265829,False,No Diff
balanced_accuracy,Logarithmic (Standard),Logarithmic (ClusterCentroids),0.00042019325817299613,0.035890729923334704,0.9714417562902113,False,No Diff,average_precision,Logarithmic (Standard),Logarithmic (ClusterCentroids),-0.046432138469048034,-1.408625384465498,0.16207891867205504,False,No Diff,f1,Logarithmic (Standard),Logarithmic (ClusterCentroids),-0.008630303559789665,-0.4384802000565368,0.6619935816836492,False,No Diff
balanced_accuracy,Logarithmic (Standard),Logarithmic (RandomUnderSampler),0.0011550727775335723,0.10042266494603294,0.9202118651359223,False,No Diff,average_precision,Logarithmic (Standard),Logarithmic (RandomUnderSampler),-0.006010485539795107,-0.17108815966634294,0.8645036436795906,False,No Diff,f1,Logarithmic (Standard),Logarithmic (RandomUnderSampler),0.0010936124492518795,0.05803855125498705,0.9538349067265829,False,No Diff
