model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max
APosteriori (ClusterCentroids),100.0,0.9068258978777639,0.03215414656383384,0.8185391800726518,0.8921428447820858,0.9119458426268998,0.9285454718937012,0.9744533757884628
APosteriori (RandomUnderSampler),100.0,0.9152180318589687,0.026646114969330458,0.8474052932018682,0.8967349939456841,0.9136453342514874,0.9350011416252665,0.9752667145440544
APosteriori (Standard),100.0,0.9138205667172735,0.028063453823369177,0.8293807299775124,0.8941609145302103,0.9136738568570217,0.9324359657965096,0.9768933920552378
APriori (ClusterCentroids),100.0,0.8987936490391918,0.028926513849039107,0.8020757654385055,0.88145249647409,0.903308251167618,0.9204674434466822,0.9552750209824096
APriori (RandomUnderSampler),100.0,0.8996219570494248,0.030388671033308074,0.8030920256011072,0.8823861892905613,0.896162229215069,0.9222417865764495,0.9571094966268812
APriori (Standard),100.0,0.9003012348590225,0.027235336239025708,0.831275470914487,0.8832418597625166,0.9012701928651154,0.9176142106915638,0.9571094966268812
BalancedRandomForestClassifier (ClusterCentroids),100.0,0.8180282801673444,0.08235233817749835,0.5717771451809679,0.7636742578283855,0.8262901702081231,0.8799266995329529,0.9535893444040824
BalancedRandomForestClassifier (RandomUnderSampler),100.0,0.8560671563898762,0.05649199779047307,0.6407076047173648,0.8276547885319236,0.85857256309302,0.8936736728806325,0.9516260162601626
BalancedRandomForestClassifier (Standard),100.0,0.5158218339142846,0.05504477595405423,0.5,0.5,0.5,0.5,0.7782520325203253
DESKL (ClusterCentroids),100.0,0.9122421725993193,0.028512151180743933,0.8392060197197717,0.895375830283313,0.9146902823323786,0.9354080176440063,0.9770967267441356
DESKL (RandomUnderSampler),100.0,0.9120997440580438,0.028469934271479223,0.8289742259124719,0.8947201262528685,0.9145886976443073,0.9357635433881616,0.9773000614330336
DESKL (Standard),100.0,0.9130562785204072,0.0277061957983556,0.838799515654731,0.8946184382443251,0.9146903236605675,0.9356110423714881,0.9773000614330336
DESP (ClusterCentroids),100.0,0.9154321141807814,0.027720937997163915,0.8343254912479559,0.9019598797682089,0.916017907310756,0.9354901040003647,0.9734367023439732
DESP (RandomUnderSampler),100.0,0.9136307531256951,0.027387333825875413,0.8357488340702413,0.9003024603497356,0.9141249830554425,0.9304260078045911,0.9722166942105857
DESP (Standard),100.0,0.9147477167098979,0.028157296147185044,0.8357507351669261,0.9051335519541761,0.917532641706973,0.9309347991369128,0.9736421034423112
DecisionTreeClassifier (ClusterCentroids),100.0,0.8862855439658418,0.04117892537332928,0.7702233292666396,0.861397249610794,0.8928040131465145,0.9142330272514911,0.9662558380902958
DecisionTreeClassifier (RandomUnderSampler),100.0,0.8717052849969036,0.035991069844209966,0.770904687770282,0.8461857810067462,0.8758634557794359,0.8990113961996988,0.9481664071959868
DecisionTreeClassifier (Standard),100.0,0.8712301793040177,0.034173228175196926,0.7919780314824425,0.8477488537758735,0.8715351985325293,0.8993163362407626,0.9394884618379724
Exponential (ClusterCentroids),100.0,0.9156426305086167,0.027899633180450644,0.8385962636222106,0.9023744732766303,0.9134705634963127,0.9344424258408738,0.9752667145440544
Exponential (RandomUnderSampler),100.0,0.9159067906364602,0.026642748834057723,0.8169131638124891,0.9025269742933038,0.9148366544665854,0.9333752286855758,0.9756733839218504
Exponential (Standard),100.0,0.9166563555077883,0.02722363870231802,0.8383930115896904,0.9024979747648672,0.922888563937944,0.9341885054488844,0.9752667145440544
ExtraTreesClassifier (ClusterCentroids),100.0,0.907827249524972,0.02952780076030434,0.8291774779449922,0.8932103518987999,0.9061483326555511,0.925563995790258,0.9777067308108296
ExtraTreesClassifier (RandomUnderSampler),100.0,0.9078870551029268,0.029323587626353547,0.8291774779449922,0.8932104758833663,0.913978982874935,0.9257164348146482,0.9779100654997276
ExtraTreesClassifier (Standard),100.0,0.9073427571628082,0.02911296291982852,0.8289742259124719,0.8934136865876978,0.9061483326555511,0.925563995790258,0.9779100654997276
KNOP (ClusterCentroids),100.0,0.9149926136238533,0.02577236293137815,0.8447604544313984,0.9000026920478725,0.9161500379269667,0.9339144048100665,0.9687600044993208
KNOP (RandomUnderSampler),100.0,0.9128634213759171,0.026493094303171004,0.8339214668742432,0.8980698346499615,0.9141075427795996,0.9305803065974773,0.9634103096350112
KNOP (Standard),100.0,0.9131614098969159,0.02689769845858606,0.833108458744162,0.8975968313308331,0.9142468396597823,0.9331387303234735,0.9677433310548312
KNORAE (ClusterCentroids),100.0,0.9047061760194643,0.028451889137262626,0.8274121118254263,0.890936897026122,0.9076792013128788,0.9226018377572786,0.9636766372768726
KNORAE (RandomUnderSampler),100.0,0.898846503035529,0.02880226575016604,0.8173888600588133,0.8825386283149516,0.9003591525125534,0.916617207486466,0.9683575505967824
KNORAE (Standard),100.0,0.9004014228785399,0.030767260109063613,0.8186083722539352,0.8815098871492476,0.9042531006165884,0.9196514324279892,0.9703900709219858
KNORAU (ClusterCentroids),100.0,0.9133321969796091,0.024413602099538686,0.8502508216571527,0.8988685616925043,0.9143853629554094,0.9291240934661786,0.9676784370051827
KNORAU (RandomUnderSampler),100.0,0.9124128626574945,0.02581889227629755,0.8415109842587787,0.8978031482442483,0.9149606188085537,0.9302893484542449,0.9722532872441372
KNORAU (Standard),100.0,0.913985389342139,0.025221373850281382,0.8431370005189414,0.8976651283611337,0.9150926254401981,0.9311202546577924,0.9697803148244248
KNeighborsClassifier (ClusterCentroids),100.0,0.9187633426694591,0.02690037007393322,0.8400190278498529,0.9040519844600382,0.9245154067618826,0.9358145010449526,0.9783169001902784
KNeighborsClassifier (RandomUnderSampler),100.0,0.9210049024992404,0.02652828963057612,0.8435466653111021,0.9040520464523214,0.9253285802047192,0.9369408296055307,0.9783169001902784
KNeighborsClassifier (Standard),100.0,0.9147316403654073,0.028021884511050785,0.8400190278498529,0.9037979400834824,0.9148936170212766,0.9358145010449526,0.9779100654997276
Logarithmic (ClusterCentroids),100.0,0.9165262667722979,0.026607416083471617,0.8392060197197717,0.9032389556658624,0.91408044357844,0.9347982615464453,0.976283387988544
Logarithmic (RandomUnderSampler),100.0,0.9157913872529374,0.02676744199530374,0.839409271752292,0.9028319763266508,0.9154466585332792,0.9345714759682033,0.976283387988544
Logarithmic (Standard),100.0,0.9169464600304709,0.026613371032281865,0.8383930115896904,0.9026291375760185,0.9156499932221771,0.9349776494077338,0.976080053299646
LogitBoostClassifier (ClusterCentroids),100.0,0.9036004371053905,0.0317623250668769,0.8085106382978724,0.8846546798343904,0.9040520671164158,0.9257672684868726,0.9678818543504584
LogitBoostClassifier (RandomUnderSampler),100.0,0.908854314353389,0.02973495995986129,0.8191489361702128,0.8936170212765957,0.9144869476434808,0.9257672684868726,0.9777067308108296
LogitBoostClassifier (Standard),100.0,0.871748613377713,0.03648767054570042,0.7763924926483308,0.8436991663277755,0.8722387995156548,0.9034931240269849,0.9466052586057776
METADES (ClusterCentroids),100.0,0.9004692798691484,0.030024773033311244,0.8289003486973601,0.8818744429927405,0.9025349057882608,0.9202160106599293,0.9636135616675316
METADES (RandomUnderSampler),100.0,0.8938858004450643,0.03432104631644536,0.7677910396125238,0.8759965517825674,0.897119272018551,0.9177892897594235,0.961987545407369
METADES (Standard),100.0,0.8942829674698263,0.03322034782118556,0.7651487631897596,0.8780308963735939,0.8968467170100283,0.9153971993530784,0.9646933107213622
MLA (ClusterCentroids),100.0,0.8827513672068312,0.03583371278014444,0.7916666666666667,0.8602285504238021,0.884501660566626,0.9096090641757482,0.9464020065732572
MLA (RandomUnderSampler),100.0,0.8751678801018595,0.04049516700461474,0.7641274346084292,0.8478505417844169,0.872238758187466,0.9070387050666741,0.9560234656883528
MLA (Standard),100.0,0.8777045527493305,0.03692589537630742,0.7653474427418169,0.8586614192485178,0.8773626841909442,0.9027309289050338,0.967475102316285
MLPClassifier (ClusterCentroids),100.0,0.9185658440220341,0.028707311597901804,0.8331299986444354,0.9038487737557067,0.9161583299444218,0.9367374949166327,0.9785201522227988
MLPClassifier (RandomUnderSampler),100.0,0.918273539753743,0.027990846060293107,0.8435466653111021,0.9034423110188547,0.9146903649887564,0.9362799918666124,0.978113648157758
MLPClassifier (Standard),100.0,0.916570378643238,0.028731929001592625,0.8400188625370977,0.8956299986444354,0.9164633319777687,0.935966898741154,0.9783167348775232
RRC (ClusterCentroids),100.0,0.9152070338563688,0.02754774352188088,0.8283644698149109,0.9035655645379589,0.9135722308407617,0.934164310652142,0.9758767186107482
RRC (RandomUnderSampler),100.0,0.915335033570624,0.02752219445813554,0.8173196678775299,0.9028223098171719,0.9151416564999322,0.9337820013838437,0.9752667145440544
RRC (Standard),100.0,0.9172250560902662,0.026588283862986763,0.838799515654731,0.9026291375760185,0.9148366544665854,0.9339616578783594,0.9758767186107482
RUSBoostClassifier (ClusterCentroids),100.0,0.9138920645146744,0.025982004519394294,0.8363588381369351,0.8997819559931818,0.9128317888549518,0.9319527330911607,0.9750633798551565
