model,balanced_accuracy,average_precision,f1
APosteriori (ClusterCentroids),0.907 ± 0.032,0.809 ± 0.064,0.817 ± 0.060
APosteriori (RandomUnderSampler),0.915 ± 0.027,0.817 ± 0.055,0.744 ± 0.098
APosteriori (Standard),0.914 ± 0.028,0.815 ± 0.056,0.748 ± 0.096
APriori (ClusterCentroids),0.899 ± 0.029,0.772 ± 0.071,0.501 ± 0.063
APriori (RandomUnderSampler),0.900 ± 0.030,0.749 ± 0.083,0.521 ± 0.079
APriori (Standard),0.900 ± 0.027,0.743 ± 0.080,0.523 ± 0.071
BalancedRandomForestClassifier (ClusterCentroids),0.818 ± 0.082,0.863 ± 0.045,0.128 ± 0.068
BalancedRandomForestClassifier (RandomUnderSampler),0.856 ± 0.056,0.868 ± 0.043,0.146 ± 0.060
BalancedRandomForestClassifier (Standard),0.516 ± 0.055,0.259 ± 0.378,0.039 ± 0.008
DESKL (ClusterCentroids),0.912 ± 0.029,0.862 ± 0.047,0.877 ± 0.037
DESKL (RandomUnderSampler),0.912 ± 0.028,0.857 ± 0.048,0.875 ± 0.036
DESKL (Standard),0.913 ± 0.028,0.858 ± 0.048,0.877 ± 0.035
DESP (ClusterCentroids),0.915 ± 0.028,0.831 ± 0.065,0.745 ± 0.110
DESP (RandomUnderSampler),0.914 ± 0.027,0.801 ± 0.068,0.670 ± 0.082
DESP (Standard),0.915 ± 0.028,0.803 ± 0.071,0.675 ± 0.084
DecisionTreeClassifier (ClusterCentroids),0.886 ± 0.041,0.670 ± 0.126,0.768 ± 0.088
DecisionTreeClassifier (RandomUnderSampler),0.872 ± 0.036,0.474 ± 0.120,0.666 ± 0.092
DecisionTreeClassifier (Standard),0.871 ± 0.034,0.480 ± 0.111,0.671 ± 0.088
Exponential (ClusterCentroids),0.916 ± 0.028,0.819 ± 0.074,0.819 ± 0.048
Exponential (RandomUnderSampler),0.916 ± 0.027,0.760 ± 0.074,0.800 ± 0.044
Exponential (Standard),0.917 ± 0.027,0.767 ± 0.077,0.806 ± 0.049
ExtraTreesClassifier (ClusterCentroids),0.908 ± 0.030,0.869 ± 0.042,0.882 ± 0.036
ExtraTreesClassifier (RandomUnderSampler),0.908 ± 0.029,0.864 ± 0.043,0.880 ± 0.036
ExtraTreesClassifier (Standard),0.907 ± 0.029,0.866 ± 0.044,0.879 ± 0.037
KNOP (ClusterCentroids),0.915 ± 0.026,0.843 ± 0.051,0.706 ± 0.155
KNOP (RandomUnderSampler),0.913 ± 0.026,0.846 ± 0.050,0.611 ± 0.123
KNOP (Standard),0.913 ± 0.027,0.847 ± 0.052,0.616 ± 0.129
KNORAE (ClusterCentroids),0.905 ± 0.028,0.705 ± 0.094,0.542 ± 0.083
KNORAE (RandomUnderSampler),0.899 ± 0.029,0.603 ± 0.110,0.509 ± 0.077
KNORAE (Standard),0.900 ± 0.031,0.626 ± 0.117,0.528 ± 0.080
KNORAU (ClusterCentroids),0.913 ± 0.024,0.847 ± 0.047,0.624 ± 0.169
KNORAU (RandomUnderSampler),0.912 ± 0.026,0.850 ± 0.049,0.539 ± 0.114
KNORAU (Standard),0.914 ± 0.025,0.851 ± 0.048,0.544 ± 0.128
KNeighborsClassifier (ClusterCentroids),0.919 ± 0.027,0.873 ± 0.044,0.888 ± 0.032
KNeighborsClassifier (RandomUnderSampler),0.921 ± 0.027,0.873 ± 0.044,0.887 ± 0.033
KNeighborsClassifier (Standard),0.915 ± 0.028,0.859 ± 0.048,0.893 ± 0.034
Logarithmic (ClusterCentroids),0.917 ± 0.027,0.829 ± 0.062,0.843 ± 0.042
Logarithmic (RandomUnderSampler),0.916 ± 0.027,0.789 ± 0.068,0.834 ± 0.041
Logarithmic (Standard),0.917 ± 0.027,0.783 ± 0.071,0.835 ± 0.041
LogitBoostClassifier (ClusterCentroids),0.904 ± 0.032,0.864 ± 0.045,0.882 ± 0.039
LogitBoostClassifier (RandomUnderSampler),0.909 ± 0.030,0.867 ± 0.046,0.883 ± 0.039
LogitBoostClassifier (Standard),0.872 ± 0.036,0.796 ± 0.096,0.835 ± 0.050
METADES (ClusterCentroids),0.900 ± 0.030,0.613 ± 0.131,0.533 ± 0.158
METADES (RandomUnderSampler),0.894 ± 0.034,0.549 ± 0.133,0.537 ± 0.133
METADES (Standard),0.894 ± 0.033,0.556 ± 0.133,0.545 ± 0.126
MLA (ClusterCentroids),0.883 ± 0.036,0.759 ± 0.076,0.802 ± 0.080
MLA (RandomUnderSampler),0.875 ± 0.040,0.718 ± 0.091,0.790 ± 0.076
MLA (Standard),0.878 ± 0.037,0.727 ± 0.092,0.784 ± 0.087
MLPClassifier (ClusterCentroids),0.919 ± 0.029,0.877 ± 0.045,0.884 ± 0.038
MLPClassifier (RandomUnderSampler),0.918 ± 0.028,0.881 ± 0.043,0.875 ± 0.034
MLPClassifier (Standard),0.917 ± 0.029,0.897 ± 0.037,0.890 ± 0.035
RRC (ClusterCentroids),0.915 ± 0.028,0.817 ± 0.073,0.823 ± 0.049
RRC (RandomUnderSampler),0.915 ± 0.028,0.762 ± 0.075,0.803 ± 0.045
RRC (Standard),0.917 ± 0.027,0.762 ± 0.077,0.808 ± 0.044
RUSBoostClassifier (ClusterCentroids),0.914 ± 0.026,0.856 ± 0.053,0.763 ± 0.051
RUSBoostClassifier (RandomUnderSampler),0.922 ± 0.025,0.854 ± 0.056,0.690 ± 0.057
RUSBoostClassifier (Standard),0.920 ± 0.026,0.849 ± 0.052,0.702 ± 0.059
RandomForestClassifier (ClusterCentroids),0.916 ± 0.027,0.856 ± 0.048,0.880 ± 0.037
RandomForestClassifier (RandomUnderSampler),0.916 ± 0.028,0.858 ± 0.047,0.869 ± 0.038
RandomForestClassifier (Standard),0.916 ± 0.028,0.859 ± 0.047,0.869 ± 0.039
