model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
APosteriori (ClusterCentroids),100.0,0.9068258978777639,0.03215414656383384,0.8185391800726518,0.8921428447820858,0.9119458426268998,0.9285454718937012,0.9744533757884628,100.0,0.8087263472351336,0.06440527804651408,0.5421377484780071,0.7818767452301227,0.8240261662040225,0.8508232616516036,0.9108079684538476,100.0,0.8165049976288116,0.060039547682738156,0.6165413533834586,0.78,0.825414612281488,0.8571428571428571,0.9247311827956988
APosteriori (RandomUnderSampler),100.0,0.9152180318589687,0.026646114969330458,0.8474052932018682,0.8967349939456841,0.9136453342514874,0.9350011416252665,0.9752667145440544,100.0,0.8172343509542279,0.05482636432626196,0.6675547299282112,0.7869100839263833,0.8201562460200167,0.8516077214972283,0.9186051669230332,100.0,0.7442096714220408,0.09797263108958316,0.484472049689441,0.6830050389372423,0.7568613652357494,0.8141911851589271,0.8888888888888888
APosteriori (Standard),100.0,0.9138205667172735,0.028063453823369177,0.8293807299775124,0.8941609145302103,0.9136738568570217,0.9324359657965096,0.9768933920552378,100.0,0.8149295973010262,0.05579861818004062,0.6653976861614044,0.7847170320425805,0.8174605982154755,0.8500791394181242,0.9246722811189664,100.0,0.7475493408040428,0.0957227390696179,0.4938271604938271,0.6839080459770115,0.7613871635610766,0.8277603622431209,0.9090909090909092
APriori (ClusterCentroids),100.0,0.8987936490391918,0.028926513849039107,0.8020757654385055,0.88145249647409,0.903308251167618,0.9204674434466822,0.9552750209824096,100.0,0.7718794655230026,0.0713009063525169,0.5621572545003081,0.7296871136560812,0.7751349365111896,0.8293989148695594,0.9014108394114406,100.0,0.5009712305389855,0.06279908971531227,0.3305084745762712,0.4650778669183577,0.5,0.5425060346719334,0.6614173228346457
APriori (RandomUnderSampler),100.0,0.8996219570494248,0.030388671033308074,0.8030920256011072,0.8823861892905613,0.896162229215069,0.9222417865764495,0.9571094966268812,100.0,0.7486775440186981,0.08260596660070796,0.3862661767795021,0.7011671980532301,0.7549686190405079,0.8124939838786299,0.8934699246929464,100.0,0.5209031427122719,0.07900177863749427,0.3679245283018867,0.4589548738155549,0.5277587681779299,0.5719047619047619,0.6956521739130435
APriori (Standard),100.0,0.9003012348590225,0.027235336239025708,0.831275470914487,0.8832418597625166,0.9012701928651154,0.9176142106915638,0.9571094966268812,100.0,0.7434346831611781,0.07978709585386926,0.5001014238326088,0.7018885957557323,0.7548976358223958,0.8013590504324405,0.8826703549012663,100.0,0.5226202514307748,0.07133111965239226,0.3169811320754717,0.47643925841600254,0.5181206653804036,0.5757387462027064,0.7058823529411765
BalancedRandomForestClassifier (ClusterCentroids),100.0,0.8180282801673444,0.08235233817749835,0.5717771451809679,0.7636742578283855,0.8262901702081231,0.8799266995329529,0.9535893444040824,100.0,0.8633191284127228,0.04472256563646117,0.7207449231140886,0.8374502905832621,0.8673772076964696,0.894199852593965,0.9565239789425962,100.0,0.12777564793463853,0.06843314577935515,0.0435967302452316,0.0769946472937956,0.10214410323352771,0.16949733434881947,0.3420074349442379
BalancedRandomForestClassifier (RandomUnderSampler),100.0,0.8560671563898762,0.05649199779047307,0.6407076047173648,0.8276547885319236,0.85857256309302,0.8936736728806325,0.9516260162601626,100.0,0.8678583800658098,0.043318593922510244,0.7429629932062403,0.8428583932958406,0.8701720807347747,0.9005358068618028,0.9529924598477412,100.0,0.14642793383258415,0.05950912744972209,0.0515297906602254,0.10513243981452072,0.12812484801322888,0.17504743833017078,0.3478260869565217
BalancedRandomForestClassifier (Standard),100.0,0.5158218339142846,0.05504477595405423,0.5,0.5,0.5,0.5,0.7782520325203253,100.0,0.25946978041380125,0.3784691650108384,0.0187475069804547,0.0187475069804547,0.0191463901076984,0.787672535328428,0.9480597360825908,100.0,0.03907282873470888,0.007875405257902014,0.0368050117462803,0.0368050117462803,0.0368194281237759,0.037573385518591,0.0793248945147679
DESKL (ClusterCentroids),100.0,0.9122421725993193,0.028512151180743933,0.8392060197197717,0.895375830283313,0.9146902823323786,0.9354080176440063,0.9770967267441356,100.0,0.8618560088429481,0.04668564874393248,0.7240526034853049,0.8339764801095406,0.8656002940030623,0.894639359053636,0.9392465416840498,100.0,0.8770382683202004,0.03666552610716848,0.7529411764705882,0.8563402889245586,0.8837209302325582,0.9002747252747253,0.945054945054945
