model,f1
APosteriori (ClusterCentroids),0.817 ± 0.060
APosteriori (RandomUnderSampler),0.744 ± 0.098
APosteriori (Standard),0.748 ± 0.096
APriori (ClusterCentroids),0.501 ± 0.063
APriori (RandomUnderSampler),0.521 ± 0.079
APriori (Standard),0.523 ± 0.071
BalancedRandomForestClassifier (ClusterCentroids),0.128 ± 0.068
BalancedRandomForestClassifier (RandomUnderSampler),0.146 ± 0.060
BalancedRandomForestClassifier (Standard),0.039 ± 0.008
DESKL (ClusterCentroids),0.877 ± 0.037
DESKL (RandomUnderSampler),0.875 ± 0.036
DESKL (Standard),0.877 ± 0.035
DESP (ClusterCentroids),0.745 ± 0.110
DESP (RandomUnderSampler),0.670 ± 0.082
DESP (Standard),0.675 ± 0.084
DecisionTreeClassifier (ClusterCentroids),0.768 ± 0.088
DecisionTreeClassifier (RandomUnderSampler),0.666 ± 0.092
DecisionTreeClassifier (Standard),0.671 ± 0.088
Exponential (ClusterCentroids),0.819 ± 0.048
Exponential (RandomUnderSampler),0.800 ± 0.044
Exponential (Standard),0.806 ± 0.049
ExtraTreesClassifier (ClusterCentroids),0.882 ± 0.036
ExtraTreesClassifier (RandomUnderSampler),0.880 ± 0.036
ExtraTreesClassifier (Standard),0.879 ± 0.037
KNOP (ClusterCentroids),0.706 ± 0.155
KNOP (RandomUnderSampler),0.611 ± 0.123
KNOP (Standard),0.616 ± 0.129
KNORAE (ClusterCentroids),0.542 ± 0.083
KNORAE (RandomUnderSampler),0.509 ± 0.077
KNORAE (Standard),0.528 ± 0.080
KNORAU (ClusterCentroids),0.624 ± 0.169
KNORAU (RandomUnderSampler),0.539 ± 0.114
KNORAU (Standard),0.544 ± 0.128
KNeighborsClassifier (ClusterCentroids),0.888 ± 0.032
KNeighborsClassifier (RandomUnderSampler),0.887 ± 0.033
KNeighborsClassifier (Standard),0.893 ± 0.034
Logarithmic (ClusterCentroids),0.843 ± 0.042
Logarithmic (RandomUnderSampler),0.834 ± 0.041
Logarithmic (Standard),0.835 ± 0.041
LogitBoostClassifier (ClusterCentroids),0.882 ± 0.039
LogitBoostClassifier (RandomUnderSampler),0.883 ± 0.039
LogitBoostClassifier (Standard),0.835 ± 0.050
METADES (ClusterCentroids),0.533 ± 0.158
METADES (RandomUnderSampler),0.537 ± 0.133
METADES (Standard),0.545 ± 0.126
MLA (ClusterCentroids),0.802 ± 0.080
MLA (RandomUnderSampler),0.790 ± 0.076
MLA (Standard),0.784 ± 0.087
MLPClassifier (ClusterCentroids),0.884 ± 0.038
MLPClassifier (RandomUnderSampler),0.875 ± 0.034
MLPClassifier (Standard),0.890 ± 0.035
RRC (ClusterCentroids),0.823 ± 0.049
RRC (RandomUnderSampler),0.803 ± 0.045
RRC (Standard),0.808 ± 0.044
RUSBoostClassifier (ClusterCentroids),0.763 ± 0.051
RUSBoostClassifier (RandomUnderSampler),0.690 ± 0.057
RUSBoostClassifier (Standard),0.702 ± 0.059
RandomForestClassifier (ClusterCentroids),0.880 ± 0.037
RandomForestClassifier (RandomUnderSampler),0.869 ± 0.038
RandomForestClassifier (Standard),0.869 ± 0.039
StackingClassifier (ClusterCentroids),0.867 ± 0.036
StackingClassifier (RandomUnderSampler),0.772 ± 0.042
StackingClassifier (Standard),0.747 ± 0.042
VotingClassifier (ClusterCentroids),0.899 ± 0.033
VotingClassifier (RandomUnderSampler),0.885 ± 0.035
VotingClassifier (Standard),0.899 ± 0.031
XGBClassifier (ClusterCentroids),0.896 ± 0.034
XGBClassifier (RandomUnderSampler),0.883 ± 0.034
XGBClassifier (Standard),0.899 ± 0.032
