model,average_precision
APosteriori (ClusterCentroids),0.809 ± 0.064
APosteriori (RandomUnderSampler),0.817 ± 0.055
APosteriori (Standard),0.815 ± 0.056
APriori (ClusterCentroids),0.772 ± 0.071
APriori (RandomUnderSampler),0.749 ± 0.083
APriori (Standard),0.743 ± 0.080
BalancedRandomForestClassifier (ClusterCentroids),0.863 ± 0.045
BalancedRandomForestClassifier (RandomUnderSampler),0.868 ± 0.043
BalancedRandomForestClassifier (Standard),0.259 ± 0.378
DESKL (ClusterCentroids),0.862 ± 0.047
DESKL (RandomUnderSampler),0.857 ± 0.048
DESKL (Standard),0.858 ± 0.048
DESP (ClusterCentroids),0.831 ± 0.065
DESP (RandomUnderSampler),0.801 ± 0.068
DESP (Standard),0.803 ± 0.071
DecisionTreeClassifier (ClusterCentroids),0.670 ± 0.126
DecisionTreeClassifier (RandomUnderSampler),0.474 ± 0.120
DecisionTreeClassifier (Standard),0.480 ± 0.111
Exponential (ClusterCentroids),0.819 ± 0.074
Exponential (RandomUnderSampler),0.760 ± 0.074
Exponential (Standard),0.767 ± 0.077
ExtraTreesClassifier (ClusterCentroids),0.869 ± 0.042
ExtraTreesClassifier (RandomUnderSampler),0.864 ± 0.043
ExtraTreesClassifier (Standard),0.866 ± 0.044
KNOP (ClusterCentroids),0.843 ± 0.051
KNOP (RandomUnderSampler),0.846 ± 0.050
KNOP (Standard),0.847 ± 0.052
KNORAE (ClusterCentroids),0.705 ± 0.094
KNORAE (RandomUnderSampler),0.603 ± 0.110
KNORAE (Standard),0.626 ± 0.117
KNORAU (ClusterCentroids),0.847 ± 0.047
KNORAU (RandomUnderSampler),0.850 ± 0.049
KNORAU (Standard),0.851 ± 0.048
KNeighborsClassifier (ClusterCentroids),0.873 ± 0.044
KNeighborsClassifier (RandomUnderSampler),0.873 ± 0.044
KNeighborsClassifier (Standard),0.859 ± 0.048
Logarithmic (ClusterCentroids),0.829 ± 0.062
Logarithmic (RandomUnderSampler),0.789 ± 0.068
Logarithmic (Standard),0.783 ± 0.071
LogitBoostClassifier (ClusterCentroids),0.864 ± 0.045
LogitBoostClassifier (RandomUnderSampler),0.867 ± 0.046
LogitBoostClassifier (Standard),0.796 ± 0.096
METADES (ClusterCentroids),0.613 ± 0.131
METADES (RandomUnderSampler),0.549 ± 0.133
METADES (Standard),0.556 ± 0.133
MLA (ClusterCentroids),0.759 ± 0.076
MLA (RandomUnderSampler),0.718 ± 0.091
MLA (Standard),0.727 ± 0.092
MLPClassifier (ClusterCentroids),0.877 ± 0.045
MLPClassifier (RandomUnderSampler),0.881 ± 0.043
MLPClassifier (Standard),0.897 ± 0.037
RRC (ClusterCentroids),0.817 ± 0.073
RRC (RandomUnderSampler),0.762 ± 0.075
RRC (Standard),0.762 ± 0.077
RUSBoostClassifier (ClusterCentroids),0.856 ± 0.053
RUSBoostClassifier (RandomUnderSampler),0.854 ± 0.056
RUSBoostClassifier (Standard),0.849 ± 0.052
RandomForestClassifier (ClusterCentroids),0.856 ± 0.048
RandomForestClassifier (RandomUnderSampler),0.858 ± 0.047
RandomForestClassifier (Standard),0.859 ± 0.047
StackingClassifier (ClusterCentroids),0.884 ± 0.040
StackingClassifier (RandomUnderSampler),0.887 ± 0.038
StackingClassifier (Standard),0.884 ± 0.038
VotingClassifier (ClusterCentroids),0.881 ± 0.041
VotingClassifier (RandomUnderSampler),0.882 ± 0.040
VotingClassifier (Standard),0.884 ± 0.038
XGBClassifier (ClusterCentroids),0.887 ± 0.039
XGBClassifier (RandomUnderSampler),0.892 ± 0.037
XGBClassifier (Standard),0.902 ± 0.034
