model,balanced_accuracy
APosteriori (ClusterCentroids),0.907 ± 0.032
APosteriori (RandomUnderSampler),0.915 ± 0.027
APosteriori (Standard),0.914 ± 0.028
APriori (ClusterCentroids),0.899 ± 0.029
APriori (RandomUnderSampler),0.900 ± 0.030
APriori (Standard),0.900 ± 0.027
BalancedRandomForestClassifier (ClusterCentroids),0.818 ± 0.082
BalancedRandomForestClassifier (RandomUnderSampler),0.856 ± 0.056
BalancedRandomForestClassifier (Standard),0.516 ± 0.055
DESKL (ClusterCentroids),0.912 ± 0.029
DESKL (RandomUnderSampler),0.912 ± 0.028
DESKL (Standard),0.913 ± 0.028
DESP (ClusterCentroids),0.915 ± 0.028
DESP (RandomUnderSampler),0.914 ± 0.027
DESP (Standard),0.915 ± 0.028
DecisionTreeClassifier (ClusterCentroids),0.886 ± 0.041
DecisionTreeClassifier (RandomUnderSampler),0.872 ± 0.036
DecisionTreeClassifier (Standard),0.871 ± 0.034
Exponential (ClusterCentroids),0.916 ± 0.028
Exponential (RandomUnderSampler),0.916 ± 0.027
Exponential (Standard),0.917 ± 0.027
ExtraTreesClassifier (ClusterCentroids),0.908 ± 0.030
ExtraTreesClassifier (RandomUnderSampler),0.908 ± 0.029
ExtraTreesClassifier (Standard),0.907 ± 0.029
KNOP (ClusterCentroids),0.915 ± 0.026
KNOP (RandomUnderSampler),0.913 ± 0.026
KNOP (Standard),0.913 ± 0.027
KNORAE (ClusterCentroids),0.905 ± 0.028
KNORAE (RandomUnderSampler),0.899 ± 0.029
KNORAE (Standard),0.900 ± 0.031
KNORAU (ClusterCentroids),0.913 ± 0.024
KNORAU (RandomUnderSampler),0.912 ± 0.026
KNORAU (Standard),0.914 ± 0.025
KNeighborsClassifier (ClusterCentroids),0.919 ± 0.027
KNeighborsClassifier (RandomUnderSampler),0.921 ± 0.027
KNeighborsClassifier (Standard),0.915 ± 0.028
Logarithmic (ClusterCentroids),0.917 ± 0.027
Logarithmic (RandomUnderSampler),0.916 ± 0.027
Logarithmic (Standard),0.917 ± 0.027
LogitBoostClassifier (ClusterCentroids),0.904 ± 0.032
LogitBoostClassifier (RandomUnderSampler),0.909 ± 0.030
LogitBoostClassifier (Standard),0.872 ± 0.036
METADES (ClusterCentroids),0.900 ± 0.030
METADES (RandomUnderSampler),0.894 ± 0.034
METADES (Standard),0.894 ± 0.033
MLA (ClusterCentroids),0.883 ± 0.036
MLA (RandomUnderSampler),0.875 ± 0.040
MLA (Standard),0.878 ± 0.037
MLPClassifier (ClusterCentroids),0.919 ± 0.029
MLPClassifier (RandomUnderSampler),0.918 ± 0.028
MLPClassifier (Standard),0.917 ± 0.029
RRC (ClusterCentroids),0.915 ± 0.028
RRC (RandomUnderSampler),0.915 ± 0.028
RRC (Standard),0.917 ± 0.027
RUSBoostClassifier (ClusterCentroids),0.914 ± 0.026
RUSBoostClassifier (RandomUnderSampler),0.922 ± 0.025
RUSBoostClassifier (Standard),0.920 ± 0.026
RandomForestClassifier (ClusterCentroids),0.916 ± 0.027
RandomForestClassifier (RandomUnderSampler),0.916 ± 0.028
RandomForestClassifier (Standard),0.916 ± 0.028
StackingClassifier (ClusterCentroids),0.927 ± 0.025
StackingClassifier (RandomUnderSampler),0.936 ± 0.023
StackingClassifier (Standard),0.935 ± 0.022
VotingClassifier (ClusterCentroids),0.923 ± 0.027
VotingClassifier (RandomUnderSampler),0.923 ± 0.025
VotingClassifier (Standard),0.923 ± 0.026
XGBClassifier (ClusterCentroids),0.922 ± 0.027
XGBClassifier (RandomUnderSampler),0.923 ± 0.026
XGBClassifier (Standard),0.922 ± 0.026
