model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
DESP (ClusterCentroids),100.0,0.7447755637819465,0.1103648367175569,0.5234899328859061,0.6707650273224044,0.7347539847539848,0.8238970588235294,0.9565217391304348
DESP (RandomUnderSampler),100.0,0.6702582530405575,0.08186658898366565,0.41,0.6287989869368169,0.6666666666666666,0.7192982456140351,0.8913043478260869
DESP (Standard),100.0,0.6754717972970335,0.08388947196657921,0.448087431693989,0.6237971014492754,0.6726554946825652,0.7302152104947269,0.9361702127659576
