model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DecisionTreeClassifier (ClusterCentroids),100.0,0.6695646600838117,0.12569976673235672,0.2184403614927803,0.6025762743427916,0.6877925964749926,0.7584875130696778,0.8614952812402843
DecisionTreeClassifier (RandomUnderSampler),100.0,0.47416923162021246,0.11959245528048423,0.221851214529163,0.39253657164393285,0.447843747391114,0.5360532971939668,0.7446511107929138
DecisionTreeClassifier (Standard),100.0,0.48020301470106985,0.11072291813635161,0.2140889231083199,0.39801958844879864,0.4614994544039495,0.5416945414468821,0.7446511107929138
