model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max
KNORAE (ClusterCentroids),100.0,0.9047061760194645,0.028451889137262626,0.8274121118254263,0.890936897026122,0.9076792013128788,0.9226018377572786,0.9636766372768726
KNORAE (RandomUnderSampler),100.0,0.8988465030355292,0.028802265750166044,0.8173888600588133,0.8825386283149516,0.9003591525125534,0.916617207486466,0.9683575505967824
KNORAE (Standard),100.0,0.9004014228785396,0.03076726010906361,0.8186083722539352,0.8815098871492476,0.9042531006165884,0.9196514324279892,0.9703900709219858
