model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
APosteriori (ClusterCentroids),100.0,0.9068258978777642,0.032154146563833835,0.8185391800726518,0.8921428447820858,0.9119458426268998,0.9285454718937012,0.9744533757884628,100.0,0.8087263472351335,0.06440527804651408,0.5421377484780071,0.7818767452301227,0.8240261662040225,0.8508232616516036,0.9108079684538476,100.0,0.8165049976288113,0.060039547682738156,0.6165413533834586,0.78,0.825414612281488,0.8571428571428571,0.9247311827956988
APosteriori (RandomUnderSampler),100.0,0.9152180318589686,0.026646114969330458,0.8474052932018682,0.8967349939456841,0.9136453342514874,0.9350011416252665,0.9752667145440544,100.0,0.8172343509542279,0.05482636432626196,0.6675547299282112,0.7869100839263833,0.8201562460200167,0.8516077214972283,0.9186051669230332,100.0,0.7442096714220411,0.09797263108958318,0.484472049689441,0.6830050389372423,0.7568613652357494,0.8141911851589271,0.8888888888888888
APosteriori (Standard),100.0,0.9138205667172734,0.028063453823369174,0.8293807299775124,0.8941609145302103,0.9136738568570217,0.9324359657965096,0.9768933920552378,100.0,0.8149295973010264,0.05579861818004063,0.6653976861614044,0.7847170320425805,0.8174605982154755,0.8500791394181242,0.9246722811189664,100.0,0.7475493408040431,0.0957227390696179,0.4938271604938271,0.6839080459770115,0.7613871635610766,0.8277603622431209,0.9090909090909092
