model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
DESKL (ClusterCentroids),100.0,0.9122421725993193,0.028512151180743933,0.8392060197197717,0.895375830283313,0.9146902823323786,0.9354080176440063,0.9770967267441356,100.0,0.8618560088429479,0.04668564874393248,0.7240526034853049,0.8339764801095406,0.8656002940030623,0.894639359053636,0.9392465416840498,100.0,0.8770382683202003,0.03666552610716848,0.7529411764705882,0.8563402889245586,0.8837209302325582,0.9002747252747253,0.945054945054945
DESKL (RandomUnderSampler),100.0,0.9120997440580441,0.028469934271479223,0.8289742259124719,0.8947201262528685,0.9145886976443073,0.9357635433881616,0.9773000614330336,100.0,0.8573134615312025,0.04822686152464027,0.7146708026211583,0.8350960906187864,0.8606989551123623,0.8945427560388151,0.935356888810202,100.0,0.8749182009140963,0.036343857814700974,0.7441860465116279,0.8596345514950166,0.8827206801700425,0.9016306274370791,0.9247311827956988
DESKL (Standard),100.0,0.9130562785204073,0.0277061957983556,0.838799515654731,0.8946184382443251,0.9146903236605675,0.9356110423714881,0.9773000614330336,100.0,0.8584397339086981,0.048060166896297545,0.7172451073957263,0.8298788811729368,0.8630855617773936,0.896219430539986,0.9431828814615516,100.0,0.8765639961938192,0.0351498006539588,0.735632183908046,0.8571428571428571,0.8837209302325582,0.9037351443123938,0.9347826086956522
