Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result,Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
balanced_accuracy,MLPClassifier (ClusterCentroids),MLPClassifier (RandomUnderSampler),0.00029230426829107703,0.020272562046810532,0.983866746120302,False,No Diff,average_precision,MLPClassifier (ClusterCentroids),MLPClassifier (RandomUnderSampler),-0.003556247279883573,-0.15906425929244675,0.8739422948126179,False,No Diff,f1,MLPClassifier (ClusterCentroids),MLPClassifier (RandomUnderSampler),0.008470127277968142,0.4579730862320163,0.6479754033858319,False,No Diff
balanced_accuracy,MLPClassifier (ClusterCentroids),MLPClassifier (Standard),0.001995465378796024,0.1468571073325782,0.8835434562017366,False,No Diff,average_precision,MLPClassifier (ClusterCentroids),MLPClassifier (Standard),-0.019358763126494538,-0.9937530551891558,0.32276582085109673,False,No Diff,f1,MLPClassifier (ClusterCentroids),MLPClassifier (Standard),-0.006936183336692103,-0.4108779895071974,0.6820499968282497,False,No Diff
balanced_accuracy,MLPClassifier (RandomUnderSampler),MLPClassifier (ClusterCentroids),-0.00029230426829107703,-0.020272562046810532,0.983866746120302,False,No Diff,average_precision,MLPClassifier (RandomUnderSampler),MLPClassifier (ClusterCentroids),0.003556247279883573,0.15906425929244675,0.8739422948126179,False,No Diff,f1,MLPClassifier (RandomUnderSampler),MLPClassifier (ClusterCentroids),-0.008470127277968142,-0.4579730862320163,0.6479754033858319,False,No Diff
balanced_accuracy,MLPClassifier (RandomUnderSampler),MLPClassifier (Standard),0.0017031611105049471,0.1362458886824961,0.8919035698120588,False,No Diff,average_precision,MLPClassifier (RandomUnderSampler),MLPClassifier (Standard),-0.015802515846610965,-0.8022540538820944,0.42432763647073435,False,No Diff,f1,MLPClassifier (RandomUnderSampler),MLPClassifier (Standard),-0.015406310614660246,-0.9464892493453275,0.3462035927097511,False,No Diff
balanced_accuracy,MLPClassifier (Standard),MLPClassifier (ClusterCentroids),-0.001995465378796024,-0.1468571073325782,0.8835434562017366,False,No Diff,average_precision,MLPClassifier (Standard),MLPClassifier (ClusterCentroids),0.019358763126494538,0.9937530551891558,0.32276582085109673,False,No Diff,f1,MLPClassifier (Standard),MLPClassifier (ClusterCentroids),0.006936183336692103,0.4108779895071974,0.6820499968282497,False,No Diff
balanced_accuracy,MLPClassifier (Standard),MLPClassifier (RandomUnderSampler),-0.0017031611105049471,-0.1362458886824961,0.8919035698120588,False,No Diff,average_precision,MLPClassifier (Standard),MLPClassifier (RandomUnderSampler),0.015802515846610965,0.8022540538820944,0.42432763647073435,False,No Diff,f1,MLPClassifier (Standard),MLPClassifier (RandomUnderSampler),0.015406310614660246,0.9464892493453275,0.3462035927097511,False,No Diff
