model,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_25%,balanced_accuracy_50%,balanced_accuracy_75%,balanced_accuracy_max,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
APosteriori,100.0,0.9068258978777642,0.032154146563833835,0.8185391800726518,0.8921428447820858,0.9119458426268998,0.9285454718937012,0.9744533757884628,100.0,0.8087263472351337,0.0644052780465141,0.5421377484780071,0.7818767452301227,0.8240261662040225,0.8508232616516036,0.9108079684538476,100.0,0.8165049976288113,0.06003954768273815,0.6165413533834586,0.78,0.825414612281488,0.8571428571428571,0.9247311827956988
APriori,100.0,0.8987936490391917,0.02892651384903911,0.8020757654385055,0.88145249647409,0.903308251167618,0.9204674434466822,0.9552750209824096,100.0,0.7718794655230029,0.0713009063525169,0.5621572545003081,0.7296871136560812,0.7751349365111896,0.8293989148695594,0.9014108394114406,100.0,0.5009712305389855,0.06279908971531227,0.3305084745762712,0.4650778669183577,0.5,0.5425060346719334,0.6614173228346457
BalancedRandomForestClassifier,100.0,0.8180282801673444,0.08235233817749833,0.5717771451809679,0.7636742578283855,0.8262901702081231,0.8799266995329529,0.9535893444040824,100.0,0.8633191284127227,0.04472256563646117,0.7207449231140886,0.8374502905832621,0.8673772076964696,0.894199852593965,0.9565239789425962,100.0,0.12777564793463855,0.06843314577935516,0.0435967302452316,0.0769946472937956,0.10214410323352771,0.16949733434881947,0.3420074349442379
DESKL,100.0,0.9122421725993195,0.028512151180743933,0.8392060197197717,0.895375830283313,0.9146902823323786,0.9354080176440063,0.9770967267441356,100.0,0.8618560088429479,0.046685648743932474,0.7240526034853049,0.8339764801095406,0.8656002940030623,0.894639359053636,0.9392465416840498,100.0,0.8770382683202002,0.03666552610716848,0.7529411764705882,0.8563402889245586,0.8837209302325582,0.9002747252747253,0.945054945054945
DESP,100.0,0.9154321141807813,0.02772093799716391,0.8343254912479559,0.9019598797682089,0.916017907310756,0.9354901040003647,0.9734367023439732,100.0,0.8310695498028435,0.06456674375595937,0.5846935038513852,0.7973558182737541,0.8407576876362703,0.8762026542676571,0.9527239860077432,100.0,0.7447755637819465,0.1103648367175569,0.5234899328859061,0.6707650273224044,0.7347539847539848,0.8238970588235294,0.9565217391304348
DecisionTreeClassifier,100.0,0.8862855439658418,0.04117892537332928,0.7702233292666396,0.861397249610794,0.8928040131465145,0.9142330272514911,0.9662558380902958,100.0,0.669564660083812,0.1256997667323567,0.2184403614927803,0.6025762743427916,0.6877925964749926,0.7584875130696778,0.8614952812402843,100.0,0.7679883399189209,0.08831623500401957,0.4,0.7286931818181818,0.7808045977011495,0.8262959866220736,0.9032258064516128
Exponential,100.0,0.9156426305086168,0.027899633180450644,0.8385962636222106,0.9023744732766303,0.9134705634963127,0.9344424258408738,0.9752667145440544,100.0,0.8186372497673807,0.07375463728436851,0.6520616176648711,0.7717628613678411,0.8302340341494032,0.8714089658642987,0.9406460470892524,100.0,0.819068531170657,0.047706020044999874,0.6722689075630253,0.7878787878787878,0.8186021505376344,0.8522060943958474,0.9565217391304348
ExtraTreesClassifier,100.0,0.9078272495249721,0.029527800760304344,0.8291774779449922,0.8932103518987999,0.9061483326555511,0.925563995790258,0.9777067308108296,100.0,0.8692202628927024,0.04228500403744283,0.7440681689319358,0.8486735172677506,0.8722830158084796,0.8972538692316908,0.9423422334894874,100.0,0.8821152725067068,0.036138380045319815,0.7654320987654321,0.8604651162790697,0.8850422832980973,0.907505285412262,0.9565217391304348
KNOP,100.0,0.9149926136238531,0.025772362931378145,0.8447604544313984,0.9000026920478725,0.9161500379269667,0.9339144048100665,0.9687600044993208,100.0,0.8433654684707164,0.05102842898117474,0.6926452189531812,0.8139274407577461,0.8456048356922324,0.8775267507489234,0.9428261204898492,100.0,0.7059572732887445,0.15516642471085,0.4041450777202072,0.5945945945945946,0.7207207207207207,0.8302612176111228,0.9565217391304348
KNORAE,100.0,0.9047061760194645,0.02845188913726263,0.8274121118254263,0.890936897026122,0.9076792013128788,0.9226018377572786,0.9636766372768726,100.0,0.7050000527116839,0.09446212822938589,0.4157633946647976,0.6409053970091076,0.712755343433304,0.7783276467069584,0.8862590446709032,100.0,0.5422246685407167,0.08278749663780013,0.3953488372093023,0.480326902013649,0.5401770936775903,0.5975229658792651,0.7572815533980582
KNORAU,100.0,0.9133321969796093,0.024413602099538686,0.8502508216571527,0.8988685616925043,0.9143853629554094,0.9291240934661786,0.9676784370051827,100.0,0.8466603403762956,0.04712674351716848,0.7159141150854665,0.821173663035053,0.8477836375472392,0.8754478866447509,0.9444494972109267,100.0,0.6242589048325193,0.1691420875089859,0.2591362126245847,0.4854636248589116,0.5925925925925926,0.7487761250235361,0.9555555555555556
KNeighborsClassifier,100.0,0.918763342669459,0.02690037007393322,0.8400190278498529,0.9040519844600382,0.9245154067618826,0.9358145010449526,0.9783169001902784,100.0,0.8727330072024722,0.043660513330663606,0.725621924854782,0.8470695422497411,0.8724989393195739,0.9043459044468827,0.9634652864511922,100.0,0.8879316848810243,0.03249547862344755,0.7901234567901234,0.8735632183908046,0.8888888888888888,0.907505285412262,0.9574468085106383
Logarithmic,100.0,0.9165262667722979,0.026607416083471617,0.8392060197197717,0.9032389556658624,0.91408044357844,0.9347982615464453,0.976283387988544,100.0,0.8291316422038448,0.06159791877363873,0.6480975984290022,0.7907992323566931,0.8403524071052587,0.8699949823606656,0.943057829289836,100.0,0.8432742932283805,0.041932579168166915,0.7529411764705882,0.8206087507926443,0.8444444444444444,0.8739224137931034,0.946236559139785
LogitBoostClassifier,100.0,0.9036004371053905,0.0317623250668769,0.8085106382978724,0.8846546798343904,0.9040520671164158,0.9257672684868726,0.9678818543504584,100.0,0.8638797425644388,0.04519884072669807,0.7317846013385362,0.8387904916386322,0.8655255400115293,0.8973891276001248,0.9486332747497476,100.0,0.8816629063916587,0.03925628435866468,0.7631578947368421,0.8604651162790697,0.8837209302325582,0.9090909090909092,0.9565217391304348
METADES,100.0,0.9004692798691483,0.030024773033311244,0.8289003486973601,0.8818744429927405,0.9025349057882608,0.9202160106599293,0.9636135616675316,100.0,0.6127073973874735,0.13133086274253553,0.3429266550212886,0.5064835879259155,0.604533014647988,0.7085096547517983,0.8652150709392179,100.0,0.5334039889060189,0.15762033013211565,0.2144772117962466,0.4069923642533937,0.5274436090225564,0.6567342533343613,0.8484848484848485
MLA,100.0,0.8827513672068314,0.03583371278014444,0.7916666666666667,0.8602285504238021,0.884501660566626,0.9096090641757482,0.9464020065732572,100.0,0.7593558790944235,0.0756397540187285,0.5255761192322952,0.7059090403468893,0.7650450937362335,0.8128354463711738,0.8903618777197131,100.0,0.8024915890628133,0.07999014467316526,0.45,0.7654320987654321,0.816765415843757,0.8604651162790697,0.9230769230769232
MLPClassifier,100.0,0.918565844022034,0.0287073115979018,0.8331299986444354,0.9038487737557067,0.9161583299444218,0.9367374949166327,0.9785201522227988,100.0,0.8773932203304274,0.04468628144770508,0.7573076729556514,0.8491056868226392,0.8778009552585164,0.9129554940002733,0.9611181472570604,100.0,0.883518160055582,0.037845334799279644,0.7764705882352941,0.8628435517970402,0.8863636363636364,0.9069767441860463,0.967741935483871
RRC,100.0,0.9152070338563686,0.02754774352188088,0.8283644698149109,0.9035655645379589,0.9135722308407617,0.934164310652142,0.9758767186107482,100.0,0.8171206999978683,0.07339156779990612,0.6537826778086343,0.7759289401663668,0.8323359871443556,0.8674621883323588,0.9491683889517392,100.0,0.8229176403603538,0.04930522239328087,0.7207207207207207,0.7913071123626124,0.8200501253132833,0.8578571428571429,0.946236559139785
RUSBoostClassifier,100.0,0.9138920645146744,0.025982004519394294,0.8363588381369351,0.8997819559931818,0.9128317888549518,0.9319527330911607,0.9750633798551565,100.0,0.8562285720714347,0.0525878216382515,0.6455215199455986,0.8326587868933853,0.8658746418219694,0.8899514568818669,0.9438557429694852,100.0,0.7627147765970631,0.05059592338717243,0.6181818181818182,0.7365938430983118,0.7692307692307693,0.7959183673469388,0.8712871287128713
RandomForestClassifier,100.0,0.9162300307731452,0.027490191243335037,0.839409271752292,0.9036455630513752,0.9159549952555239,0.9357635847163503,0.9775033961219316,100.0,0.8563875394168328,0.048487501926575416,0.6932526472087671,0.8275525101033099,0.8610887188934688,0.8920324966504365,0.9495533020581592,100.0,0.8803281358568914,0.03691265498279346,0.7619047619047619,0.862484700122399,0.8863636363636364,0.9016306274370791,0.9565217391304348
StackingClassifier,100.0,0.9268602017693177,0.024545971102131154,0.8500471563427444,0.9134196058395219,0.9255959527023324,0.945588998443176,0.978113648157758,100.0,0.8835193703228703,0.03975808489325816,0.7477584884439136,0.8579721568234749,0.88603388854042,0.9103033026098535,0.9606313941273388,100.0,0.8671512309727403,0.03557731979172642,0.76,0.845360824742268,0.8729518219613598,0.8911429186396901,0.9473684210526316
