model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
APosteriori,100.0,0.8087263472351337,0.0644052780465141,0.5421377484780071,0.7818767452301227,0.8240261662040225,0.8508232616516036,0.9108079684538476
APriori,100.0,0.7718794655230029,0.0713009063525169,0.5621572545003081,0.7296871136560812,0.7751349365111896,0.8293989148695594,0.9014108394114406
BalancedRandomForestClassifier,100.0,0.8633191284127227,0.04472256563646117,0.7207449231140886,0.8374502905832621,0.8673772076964696,0.894199852593965,0.9565239789425962
DESKL,100.0,0.8618560088429479,0.046685648743932474,0.7240526034853049,0.8339764801095406,0.8656002940030623,0.894639359053636,0.9392465416840498
DESP,100.0,0.8310695498028435,0.06456674375595937,0.5846935038513852,0.7973558182737541,0.8407576876362703,0.8762026542676571,0.9527239860077432
DecisionTreeClassifier,100.0,0.669564660083812,0.1256997667323567,0.2184403614927803,0.6025762743427916,0.6877925964749926,0.7584875130696778,0.8614952812402843
Exponential,100.0,0.8186372497673807,0.07375463728436851,0.6520616176648711,0.7717628613678411,0.8302340341494032,0.8714089658642987,0.9406460470892524
ExtraTreesClassifier,100.0,0.8692202628927024,0.04228500403744283,0.7440681689319358,0.8486735172677506,0.8722830158084796,0.8972538692316908,0.9423422334894874
KNOP,100.0,0.8433654684707164,0.05102842898117474,0.6926452189531812,0.8139274407577461,0.8456048356922324,0.8775267507489234,0.9428261204898492
KNORAE,100.0,0.7050000527116839,0.09446212822938589,0.4157633946647976,0.6409053970091076,0.712755343433304,0.7783276467069584,0.8862590446709032
KNORAU,100.0,0.8466603403762956,0.04712674351716848,0.7159141150854665,0.821173663035053,0.8477836375472392,0.8754478866447509,0.9444494972109267
KNeighborsClassifier,100.0,0.8727330072024722,0.043660513330663606,0.725621924854782,0.8470695422497411,0.8724989393195739,0.9043459044468827,0.9634652864511922
Logarithmic,100.0,0.8291316422038448,0.06159791877363873,0.6480975984290022,0.7907992323566931,0.8403524071052587,0.8699949823606656,0.943057829289836
LogitBoostClassifier,100.0,0.8638797425644388,0.04519884072669807,0.7317846013385362,0.8387904916386322,0.8655255400115293,0.8973891276001248,0.9486332747497476
METADES,100.0,0.6127073973874735,0.13133086274253553,0.3429266550212886,0.5064835879259155,0.604533014647988,0.7085096547517983,0.8652150709392179
MLA,100.0,0.7593558790944235,0.0756397540187285,0.5255761192322952,0.7059090403468893,0.7650450937362335,0.8128354463711738,0.8903618777197131
MLPClassifier,100.0,0.8773932203304274,0.04468628144770508,0.7573076729556514,0.8491056868226392,0.8778009552585164,0.9129554940002733,0.9611181472570604
RRC,100.0,0.8171206999978683,0.07339156779990612,0.6537826778086343,0.7759289401663668,0.8323359871443556,0.8674621883323588,0.9491683889517392
RUSBoostClassifier,100.0,0.8562285720714347,0.0525878216382515,0.6455215199455986,0.8326587868933853,0.8658746418219694,0.8899514568818669,0.9438557429694852
RandomForestClassifier,100.0,0.8563875394168328,0.048487501926575416,0.6932526472087671,0.8275525101033099,0.8610887188934688,0.8920324966504365,0.9495533020581592
StackingClassifier,100.0,0.8835193703228703,0.03975808489325816,0.7477584884439136,0.8579721568234749,0.88603388854042,0.9103033026098535,0.9606313941273388
VotingClassifier,100.0,0.8812832781014229,0.040527283220727,0.7330059373732914,0.8572715609002715,0.885497649080724,0.9065707682099775,0.9560130724665424
XGBClassifier,100.0,0.8873360776181058,0.0387681854194201,0.7428276757503118,0.8680965275302048,0.8938936294423433,0.9089688090771212,0.9633158577304316
