,mean,std,min,max
balanced_accuracy,0.0020206350071638513,0.029383871004400194,-0.05815554931108735,0.08915450072940345
mcc,0.23654656121897052,0.11143628914234295,-0.00749414637500212,0.4895765494731513
average_precision,0.013658866289918727,0.055368889027416116,-0.09922986036489467,0.18567573114905533
f1,0.25803218217856977,0.12788712404209374,-0.008668730650154832,0.5507470376094796
