model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
MLA (ClusterCentroids),100.0,0.802491589062813,0.07999014467316524,0.45,0.7654320987654321,0.816765415843757,0.8604651162790697,0.9230769230769232
MLA (RandomUnderSampler),100.0,0.7896982248829475,0.07602780932201038,0.532258064516129,0.7427073090789905,0.8,0.8479377958079783,0.9010989010989012
MLA (Standard),100.0,0.7838626115678805,0.08667479072976099,0.5185185185185185,0.752016129032258,0.8021739130434783,0.8366008991008991,0.9361702127659576
